slices,colour,cluster,r,value
T3M_7_1_slice9.pkl,val_green,0,82,1.69
T3M_7_1_slice9.pkl,val_green,0,83,1.67
T3M_7_1_slice9.pkl,val_green,0,84,2.04
T3M_7_1_slice9.pkl,val_green,0,85,2.15
T3M_7_1_slice9.pkl,val_green,0,86,1.82
T3M_7_1_slice9.pkl,val_green,0,87,1.74
T3M_7_1_slice9.pkl,val_green,0,88,1.65
T3M_7_1_slice9.pkl,val_green,0,89,1.75
T3M_7_1_slice9.pkl,val_green,0,90,1.63
T3M_7_1_slice9.pkl,val_green,0,91,1.96
T3M_7_1_slice9.pkl,val_green,0,92,1.72
T3M_7_1_slice9.pkl,val_green,0,93,1.57
T3M_7_1_slice9.pkl,val_green,0,94,1.57
T3M_7_1_slice9.pkl,val_green,0,95,1.99
T3M_7_1_slice9.pkl,val_green,0,96,1.75
T3M_7_1_slice9.pkl,val_green,0,97,2.08
T3M_7_1_slice9.pkl,val_green,0,98,1.87
T3M_7_1_slice9.pkl,val_green,0,99,1.56
T3M_7_1_slice9.pkl,val_green,0,100,1.65
T3M_7_1_slice9.pkl,val_green,0,101,1.59
T3M_7_1_slice9.pkl,val_green,0,102,1.88
T3M_7_1_slice9.pkl,val_green,0,103,1.8
T3M_7_1_slice9.pkl,val_green,0,104,1.72
T3M_7_1_slice9.pkl,val_green,0,105,1.47
T3M_7_1_slice9.pkl,val_green,0,106,2.01
T3M_7_1_slice9.pkl,val_green,0,107,1.51
T3M_7_1_slice9.pkl,val_green,0,108,1.76
T3M_7_1_slice9.pkl,val_green,0,109,1.64
T3M_7_1_slice9.pkl,val_green,0,110,1.69
T3M_7_1_slice9.pkl,val_green,0,111,1.67
T3M_7_1_slice9.pkl,val_green,0,112,1.58
T3M_7_1_slice9.pkl,val_green,0,113,1.58
T3M_7_1_slice9.pkl,val_green,0,114,1.44
T3M_7_1_slice9.pkl,val_green,0,115,1.35
T3M_7_1_slice9.pkl,val_green,0,116,1.56
T3M_7_1_slice9.pkl,val_green,0,117,1.39
T3M_7_1_slice9.pkl,val_green,0,118,1.58
T3M_7_1_slice9.pkl,val_green,0,119,1.64
T3M_7_1_slice9.pkl,val_green,0,120,1.48
T3M_7_1_slice9.pkl,val_green,0,121,1.64
T3M_7_1_slice9.pkl,val_green,0,122,1.53
T3M_7_1_slice9.pkl,val_green,0,123,1.78
T3M_7_1_slice9.pkl,val_green,0,124,1.81
T3M_7_1_slice9.pkl,val_green,0,125,1.83
T3M_7_1_slice9.pkl,val_green,0,126,1.61
T3M_7_1_slice9.pkl,val_green,0,127,1.6
T3M_7_1_slice9.pkl,val_green,0,128,1.6
T3M_7_1_slice9.pkl,val_green,0,129,1.82
T3M_7_1_slice9.pkl,val_green,0,130,1.51
T3M_7_1_slice9.pkl,val_green,0,131,1.51
T3M_7_1_slice9.pkl,val_green,0,132,1.95
T3M_7_1_slice9.pkl,val_green,0,133,1.66
T3M_7_1_slice9.pkl,val_green,0,134,1.85
